date,type,operator,fatalities,location,country,cat,year,FatalFlag
14-DEC-1920,Handley Page O/400,Handley Page Transport,4,Golders Green,U.K.,A1,1920,1
15-JAN-1921,Aeromarine 75,Aeromarine Airways,0,Havana harbour,Cuba,O1,1921,0
02-MAR-1921,Handley Page O/7,HP Indo-Burmese Transport,0,Meerut,India,O1,1921,0
04-MAR-1921,Caproni Ca.60 Noviplano,Caproni,0,Lago Maggiore,Italy,A1,1921,0
26-AUG-1921,Farman F.60 Goliath,SNETA,2,near Calais [The Engl...,France,A1,1921,1
27-SEP-1921,Farman F.60 Goliath,SNETA,0,Evere Airfield,Belgium,O1,1921,0
27-SEP-1921,Farman F.60 Goliath,SNETA,0,Evere Airfield,Belgium,O1,1921,0
30-DEC-1921,Handley Page O/10,Handley Page Transport,0,Berck-sur-Mer,France,U1,1921,0
22-JAN-1922,Handley Page O/10,Handley Page Transport,0,near Senlis,France,A1,1922,0
31-MAR-1922,Handley Page O/7,Chinese Government,14,near Beijing-Nanyuan ...,China,A1,1922,1
07-APR-1922,Farman F.60 Goliath,Grands Express AÃ©riens,5,Thieuloy-Saint-A...,France,A1,1922,1
13-JAN-1923,Aeromarine 75,Aeromarine Airways,4,"near Havana, Cuba",Atlantic Ocean,A1,1923,1
14-MAY-1923,Farman F.60 Goliath,Air Union,6,"Monsures, Somme",France,A1,1923,1
25-JUN-1923,Farman F.60 Goliath,Air Union,0,near Ãtaples,France,A1,1923,0
10-JUL-1923,Handley Page W.8,Handley Page Transport,0,Poix,France,A1,1923,0
15-JUL-1923,Farman F.60 Goliath,Compagnie AÃ©rienne FranÃ§aise,0,near Valenciennes,France,A1,1923,0
27-AUG-1923,Farman F.60 Goliath,Air Union,1,"East Malling, Kent",U.K.,A1,1923,1
03-DEC-1923,Farman F.60 Goliath,Air Union,0,"Littlestone, Kent",U.K.,A1,1923,0
??-???-1923,Aeromarine 75,Aeromarine Airways,0,Havana harbour,Cuba,O1,1923,0
22-JAN-1924,Farman F.60 Goliath,Air Union,0,London-Croydon A...,U.K.,A1,1924,0
06-AUG-1924,Farman F.60 Goliath,Air Union,0,"Golden Green, ne...",U.K.,A2,1924,0
24-AUG-1924,Farman F.61 Goliath,SGTA,0,near Amsterdam-Schiph...,Netherlands,A1,1924,0
16-OCT-1925,Farman F.60 Goliath,Air Union,3,"Wadhurst, East S...",U.K.,A1,1925,1
14-NOV-1925,Farman F.60 Goliath,Air Union,0,near Boulogne [Englis...,France,A2,1925,0
18-AUG-1926,BlÃ©riot 155,Air Union,4,"Hurst, near Ashf...",U.K.,A1,1926,1
02-OCT-1926,BlÃ©riot 155,Air Union,7,"Leigh, Kent",U.K.,A1,1926,1
21-OCT-1926,Handley Page W.10,Imperial Airways,0,English Channel,U.K.,A1,1926,0
20-NOV-1926,Junkers G.24,Deutsche Lufthansa,0,KÃ¶nigsberg,Germany,A1,1926,0
05-MAY-1927,Farman F.61 Goliath,SGTA,2,Atlantic Ocean,Atlantic Ocean,A1,1927,1
22-AUG-1927,Fokker F.VIII,KLM,1,"St. Julians, Sev...",U.K.,A1,1927,1
15-FEB-1928,Handley Page W.8b,Imperial Airways,0,near Abbeville,France,A1,1928,0
11-MAR-1928,Farman F.60 Goliath,Air Union,2,"near Folkestone, Kent...",U.K.,A1,1928,1
11-APR-1928,Fokker F.VIII,KLM,0,Nigtevecht,Netherlands,A1,1928,0
19-APR-1928,Junkers G.24,Deutsche Lufthansa,0,Spaichingen,Germany,A1,1928,0
12-MAY-1928,Ford 4-AT-A Tri-Motor,Ford Air Freight Lines,2,"Dearborn, MI",USA,A1,1928,1
23-MAY-1928,Farman F.63bis Goliath,SGTA,3,near KÃ¶ln-Butzweiler...,Germany,A1,1928,1
25-AUG-1928,Ford 4-AT-B Tri-Motor,British Columbia Airways,7,"near Port Townsend, WA",USA,A1,1928,1
25-SEP-1928,Junkers G.31de,Deutsche Lufthansa,0,Arnsberg,Germany,A1,1928,0
13-OCT-1928,Ford 4-AT-A Tri-Motor,Stout Air Services,0,"Detroit, MI",USA,A1,1928,0
23-NOV-1928,Ford 4-AT-B Tri-Motor,Spokane Airways,3,"Moran Prairie, S...",USA,A1,1928,1
01-DEC-1928,Ford 4-AT-C Tri-Motor,Sunbeam Air Transport Co.,5,"near Spur, TX",USA,A1,1928,1
11-DEC-1928,Junkers G.31fi,Deutsche Lufthansa,3,Letzlingen,Germany,A1,1928,1
22-DEC-1928,Ford 4-AT-A Tri-Motor,Texaco,0,"Floresville, TX",USA,A1,1928,0
??-DEC-1928,Junkers G.31ce,Deutsche Lufthansa,0,unknown,Germany,A1,1928,0
16-JAN-1929,Ford 4-AT-A Tri-Motor,Stout Air Services,0,"near Toledo, OH",USA,A1,1929,0
??-FEB-1929,Junkers G.24,Deutsche Lufthansa,0,"Epinais, Bretagne",France,A1,1929,0
17-MAR-1929,Ford 4-AT-B Tri-Motor,Colonial Western Airlines,14,"near Newark Airport, ...",USA,A1,1929,1
19-MAR-1929,Ford 5-AT-B Tri-Motor,Ford Motor Company,4,"Dearborn, MI",USA,A1,1929,1
12-APR-1929,Dornier Do R4 Superwal,SANA,0,near Napoli,Italy,O1,1929,0
21-APR-1929,Ford 5-AT-B Tri-Motor,Maddux Airlines,6,near San Diego Airpor...,USA,A1,1929,1
16-MAY-1929,Vickers 170 Vanguard,Vickers-Armstrongs,2,Shepperton,U.K.,A1,1929,1
19-MAY-1929,Farman F.63bis Goliath,Air Union,0,"Paddock Wood, Kent",U.K.,A1,1929,0
02-JUN-1929,Fokker F.10A,Western Air Express,0,"Wichita, KS",USA,O1,1929,0
13-JUN-1929,Fokker F.10A,Pan Am,2,Santiago Airport...,Cuba,A1,1929,1
17-JUN-1929,Handley Page W.10,Imperial Airways,7,near Dungeness,U.K.,A1,1929,1
24-JUN-1929,Ford 5-AT-A Tri-Motor,Northwest Airways,1,"Saint Paul, MN",USA,A1,1929,1
29-AUG-1929,Junkers G.24li,AB Aerotransport,0,Emsland,Germany,A1,1929,0
03-SEP-1929,Ford 5-AT-B Tri-Motor,Transcontinental Air Transport - TAT,8,"near Gallup, NM",USA,A1,1929,1
06-SEP-1929,DH.66 Hercules,Imperial Airways,3,Jask Airport,Iran,A1,1929,1
10-SEP-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0,near GrÃ¶mitz,Germany,A1,1929,0
19-OCT-1929,Sabca (Handley Page) W.8B,Sabena,0,Edegem,Belgium,A1,1929,0
26-OCT-1929,Short S.8/1 Calcutta,Imperial Airways,7,near La Spezia,Italy,A1,1929,1
??-OCT-1929,Farman F.63bis Goliath,SGTA,0,unknown,Unknown country,U1,1929,0
06-NOV-1929,Junkers G.24bi,Deutsche Lufthansa,7,"near Godstone, Surrey",U.K.,A1,1929,1
18-NOV-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0,LÃ¼beck-TravemÃ¼...,Germany,A1,1929,0
27-NOV-1929,Fokker F.32,Fokker Aircraft Corp. of America,0,near Hempstead-Roosev...,USA,A1,1929,0
04-DEC-1929,Curtiss B-2 Condor (Condor 18),USAAC,1,"Goodwater, AL",USA,A1,1929,1
12-DEC-1929,Farman F.180T,SGTA,0,Toussus-le-Noble,France,O1,1929,0
26-DEC-1929,Fokker F.10,Western Air Express,0,Oakland Municipa...,USA,A1,1929,0
19-JAN-1930,Ford 5-AT-C Tri-Motor,Maddux Airlines,16,"Oceanside, CA",USA,A1,1930,1
07-FEB-1930,Junkers R-42 (G.24),Chilean AF,2,near Punta Arenas,Chile,A1,1930,1
08-FEB-1930,Ford 4-AT-A Tri-Motor,Private,0,"San Marcos, TX",USA,A1,1930,0
10-FEB-1930,Farman F.63bis Goliath,Air Union,2,"Marden, Kent",U.K.,A1,1930,1
14-FEB-1930,DH.66 Hercules,Imperial Airways,0,Gaza,Israel,A1,1930,0
23-FEB-1930,Fokker F.10A,Western Air Express,3,"near San Bernardino, CA",USA,A1,1930,1
02-MAR-1930,Ford 4-AT-A Tri-Motor,NYRBA,0,Cordoba,Argentina,A1,1930,0
08-APR-1930,Ford 5-AT-C Tri-Motor,Tri-Motor Safety Airways,0,Buenos Aires,Argentina,A1,1930,0
31-MAY-1930,Handley Page W.9a Hampstead,Ellyou Goldfields Development,0,Mount Misim,P.N. Guinea,A1,1930,0
05-JUN-1930,Ford 5-AT-B Tri-Motor,Colonial Air Transport,1,"Boston, MA",USA,A1,1930,1
25-JUN-1930,Ford 5-AT-A Tri-Motor,Northwest Airways,0,Chicago Municipa...,USA,O1,1930,0
25-JUN-1930,Fokker F.10A,Universal Airlines,0,"Chicago, IL",USA,O1,1930,0
25-JUN-1930,Fokker F.10A,Universal Airlines,0,"Chicago, IL",USA,O1,1930,0
25-JUN-1930,Fokker F.10A,Universal Airlines,0,"Chicago, IL",USA,O1,1930,0
25-JUN-1930,Fokker F.10A,Universal Airlines,0,"Chicago, IL",USA,O1,1930,0
25-JUN-1930,Fokker F.10,Shell Oil,0,"Chicago, IL",USA,O1,1930,0
25-JUN-1930,Fokker F.10,Northern Airlines,0,"Chicago, IL",USA,O1,1930,0
09-JUL-1930,Farman F.63bis Goliath,SGTA,1,Aalsmeer,Netherlands,A1,1930,1
12-JUL-1930,Curtiss Condor 18,Curtiss,0,"Valley Stream, NY",USA,A1,1930,0
04-AUG-1930,Ford JR-3 (5-AT-C) Tri-Motor,USMC,0,"Ocotal, Nueva Se...",Nicaragua,A1,1930,0
22-AUG-1930,Ford 5-AT-C Tri-Motor,CSA,12,Jihlava (Iglau),Czech Rep.,A1,1930,1
03-SEP-1930,Fokker F.10A,Pan Am,0,Santo Domingo,Dominican Rep.,O1,1930,0
30-OCT-1930,Handley Page W.8g,Imperial Airways,3,"Boulogne, Paris",France,A1,1930,1
07-NOV-1930,Junkers G.24,Syndicato Condor,1,"near Iguape, SP",Brazil,A1,1930,1
21-NOV-1930,Ford 4-AT-B Tri-Motor,Curtiss-Wright Flying Service,0,"Burbank, CA",USA,O1,1930,0
21-NOV-1930,Dornier Do R4 Superwal,SANA,6,"near Cap de Creus, Spain",Mediterranean Sea,A1,1930,1
22-NOV-1930,Fokker F.10A,Southern Air Fast Express,0,Dallas-Love Fiel...,USA,U1,1930,0
24-NOV-1930,Ford 5-AT-C Tri-Motor,Ford Motor Company,2,"Dearborn, MI",USA,A1,1930,1
20-DEC-1930,Ford 4-AT-E Tri-Motor,Pittsburgh Airways,0,"Jennerstown, PA",USA,A1,1930,0
22-DEC-1930,Fokker F.10,Western Air Express,0,"Alhambra, CA",USA,A1,1930,0
??-???-1930,Junkers JuG-1W (G.24),Soviet AF,0,unknown,Russia,A1,1930,0
27-JAN-1931,Ford 5-AT-B Tri-Motor,TWA,0,"Harrisburg, PA",USA,A1,1931,0
21-FEB-1931,Ford Tri-Motor,Panagra,0,Arequipa Airport...,Peru,H2,1931,0
31-MAR-1931,Fokker F.10A,TWA,8,"near Bazaar, KS",USA,A1,1931,1
01-APR-1931,Ford 5-AT-C Tri-Motor,Panagra,0,Ovalle Airport (...,Chile,A1,1931,0
17-APR-1931,Ford 5-AT-C Tri-Motor,Private,0,"near Mohania, Bihar",India,A1,1931,0
18-APR-1931,Junkers F.24ko (G.24),Deutsche Lufthansa,0,Gex (Ain),France,A2,1931,0
19-APR-1931,DH.66 Hercules,Imperial Airways,0,near Kupang,Indonesia,A1,1931,0
22-APR-1931,A.W. Argosy II,Imperial Airways,0,London-Croydon A...,U.K.,A1,1931,0
